osmid,length
862965708,10.515
171483561,166.854
206994702,261.195
60981752,11.954
60981752,227.382
210343959,205.871
22841391,243.546
25956260,66.662
"[147823413, 147823422]",163.58
"[241110633, 241110618]",120.43799999999999
1098542505,94.35699999999999
1271712375,9.907
22841500,239.36900000000003
208004760,186.291
22841499,60.772999999999996
22841499,20.442999999999998
125490187,96.17699999999999
22841779,24.86
22841779,69.99000000000001
210344027,93.882
22841779,15.105
641670812,1567.3080000000002
40350567,39.258
117373974,13.114
701885337,13.697
238567533,13.769
52876683,11.095
249531568,8.992
210343965,9.416
208249908,54.452999999999996
291939201,78.342
436527210,32.492
208054483,94.483
208054483,37.44
23026461,7.932
"[208004483, 117373975]",365.10200000000003
210757935,144.356
210757963,138.56199999999998
22841436,6.36
22841436,181.375
125490189,111.71
107670071,334.87
22841607,175.979
291939179,102.67099999999999
1309319659,9.908
117209440,722.6659999999999
22841436,12.02
22841436,41.692
22841607,65.214
22841719,27.008
22841433,185.935
22841433,116.73400000000001
447653857,41.638
22841719,48.588
22841719,71.059
22841719,181.014
22841719,315.964
447653869,109.769
52876683,52.331
477093687,122.501
22841623,119.228
52063000,56.578
22841623,82.721
22841623,12.013
22841481,462.45900000000006
22841623,193.65300000000002
476590640,99.117
279435306,102.629
567684957,7.78
567684960,13.23
476493258,52.632
476493258,12.336
22841481,65.951
435639049,4.715
258281116,70.845
856601768,5.883
258281116,51.998999999999995
856601768,156.751
22841820,5.992
315093243,20.473
315093239,51.189
493709325,9.282
1057239133,18.371
1298622053,9.227
22975372,125.381
"[199637817, 248228810, 248228815]",161.743
22975372,49.836
22975372,48.866
249527260,244.202
23017496,9.062
263951139,90.77
41416532,10.64
52768476,97.351
41416532,71.045
52768476,35.783
1285540593,100.80199999999999
52768488,87.968
216506275,48.958
22975824,90.782
216506275,82.577
22975816,78.876
22975816,55.574
22975824,90.241
22975816,11.653
53011776,40.405
53011776,38.084
80237601,25.812
436506463,91.05499999999999
53085776,30.808
80237601,26.499
53011776,106.548
1285540593,36.971
41416533,24.619
1285540593,21.969
53011776,55.279
53011776,160.86499999999998
131337063,24.245
1304303729,26.186
1304301280,89.379
1304303729,23.896
1161018311,7.902
211275116,78.651
"[1161018307, 1161018309]",152.211
61968863,38.285
211275116,124.096
211275116,66.375
61968863,153.12099999999998
53092620,89.33300000000001
211275116,54.424
211275116,16.238
"[1304299345, 1304299346, 227095245]",33.683
"[1304303712, 1010248576, 1304303711]",40.095
1307654854,22.19
858792297,89.476
1307654854,22.19
53092208,102.238
858792297,48.938
858792297,96.69300000000001
282484393,35.069
823044831,10.455
216506291,122.001
476915621,182.775
"[216506291, 1285522709]",134.92100000000002
282102107,35.716
227095245,13.058
227095245,55.903999999999996
1181952039,36.873
53091521,16.206
53091521,99.199
"[1304303745, 1304303746, 1303553015]",70.185
61720916,12.355
227095245,14.093
227095245,134.317
1185202394,25.783
52768488,24.405
108098236,39.08
52768488,52.178
41416532,71.045
52768488,124.496
53087116,10.097
53087116,134.946
858778950,175.27499999999998
22841358,38.521
"[864945316, 1304303741, 1304303742]",16.233
22840916,80.573
210212269,40.289
662169133,54.041
215732226,63.413
662169133,31.196
662169133,35.959
22841048,36.188
22841048,6.035
215732309,41.029
22841048,131.719
215732269,38.287
818055601,36.661
23016142,37.967
23016142,119.856
210212247,121.435
"[1118849928, 1203915241, 292755678]",235.22199999999995
210212263,41.571
254627447,73.838
210212263,59.065
215732206,124.057
22840820,37.778999999999996
22840820,97.73
1043506203,4.017
22840820,72.061
22840820,37.823
215732199,135.803
1147910710,93.85400000000001
248446085,9.403
"[1147910707, 246580198]",381.628
660944512,8.817
23016234,123.50400000000002
292755671,72.658
1147910710,67.46100000000001
"[1147910710, 198439343]",75.89699999999999
292755673,65.446
1147910710,41.195
1147910710,93.85400000000001
"[1160159580, 206225461]",36.215
"[206225443, 1160159581]",82.60000000000001
1160159582,108.15299999999999
161327047,105.123
1218512208,69.435
257482613,11.987
257750701,12.671
783660924,6.039
257750701,398.631
53153047,197.918
53153047,16.645
291949164,19.070999999999998
189105301,10.946
217397137,89.772
1304305043,103.065
22841372,98.718
105461216,222.705
263951161,30.641
53087940,111.678
249194341,227.143
249194344,49.92400000000001
22840898,107.267
22840898,153.798
249194341,227.143
249194351,59.049
131601013,306.656
249194351,127.951
22840896,53.934
22840971,9.976
22840896,119.44200000000001
23017478,66.912
22841358,56.012
118263725,17.162
53154257,148.672
118263725,300.13000000000005
80236913,8.664
1161617886,84.988
53761802,50.094
1162373432,8.343
107670071,12.317
1309319659,32.919
476493259,26.825
22841481,122.761
106755956,16.007
369964482,68.583
106755956,47.608000000000004
50106112,7.544
50106114,149.17700000000002
690441366,60.730999999999995
261272338,239.30599999999998
261272338,147.495
868651322,275.643
666790128,9.987
257456700,253.772
170236508,241.83400000000003
217109888,121.209
213842732,10.297
683119458,11.362
213842731,30.589
217302726,10.776
213842777,65.686
53792340,123.191
170236507,239.49599999999998
170236507,11.67
213850523,86.525
208004477,54.29299999999999
"[169701640, 23016589, 238567550]",252.832
117373980,8.129
117373984,395.33799999999997
22841500,235.999
117373980,27.594
23026461,259.865
117373983,185.132
54032306,91.045
54032306,197.223
117373983,204.94600000000003
208049745,42.366
208049745,307.16600000000005
"[106617187, 856784724]",782.04
158252721,27.845
23027946,52.595
158252721,56.102
23027946,52.595
159814254,44.108999999999995
159814254,346.402
159814254,346.402
190161627,508.329
190161627,449.41
106496523,53.975
"[23027952, 106496523, 106496517]",28.763999999999996
1058823732,260.034
1058823732,112.66499999999999
1010248576,31.298
106483657,230.37999999999997
1010248576,65.553
380363659,8.287
380363659,42.745
1161018307,38.286
22841096,61.664
219767487,55.49
53201129,63.852
22841096,104.234
180662203,76.23400000000001
22841336,43.84
53202614,66.15700000000001
232745959,47.267
53092728,8.24
53202787,85.51599999999999
216582073,146.84300000000002
218681351,20.074
669048443,7.443
1118221695,30.631999999999998
23028194,32.613
280784418,12.071
23028194,211.711
476915622,85.484
23028201,122.034
53202759,5.975
23028201,164.549
23028201,9.921
216506283,236.946
53013817,6.254
23152041,12.96
214946468,242.59199999999996
1183293092,60.818
22841044,170.813
1303560999,95.07900000000001
1303560999,464.364
218681356,15.226
673239113,6.986
568022092,6.536
476628845,140.029
857071708,91.205
127050993,88.092
858037977,67.959
1263295276,60.107
158322685,33.302
158322685,23.671
292054132,152.638
292054168,6.054
157425751,99.03899999999999
157425751,122.56900000000002
53153046,12.063
53153046,138.728
53153044,102.53699999999999
23153027,11.398
234785033,16.991
23153027,22.542
294854155,88.254
23153027,130.131
1299234518,69.985
23153027,25.406
279435315,17.458
68017853,58.098
476628845,217.34
476628845,521.982
68017853,14.186
68017853,256.657
766161054,359.8930000000001
68017853,10.126
