node_id,y,x
247740218,18.52321,73.8689124
247740223,18.522215,73.8661087
247740224,18.5221734,73.8658534
247740228,18.5216217,73.865081
247740453,18.5145952,73.8797946
247740454,18.5159346,73.8796596
247740455,18.5174671,73.8796089
247740553,18.5106058,73.8801626
247740556,18.5070124,73.8793253
248154911,18.5258288,73.831348
248154912,18.5256129,73.8305299
248154921,18.5292783,73.8248141
248154922,18.5292303,73.8235085
248155473,18.5330149,73.8258256
248155476,18.531037,73.8287277
248155938,18.5145118,73.8329125
248155951,18.5083514,73.8308827
248156010,18.5139216,73.8362069
248156036,18.5130809,73.8405641
248156064,18.5112563,73.8420168
248156068,18.512254,73.8368888
248156069,18.5130936,73.8363619
248156235,18.5067226,73.8536991
248160319,18.4625158,73.8652092
248161700,18.5523259,73.8730805
248161736,18.5522241,73.8732442
248162487,18.5273296,73.8973819
248170409,18.5055888,73.8784676
248170529,18.5036899,73.8802208
248170602,18.5121084,73.8822847
248170603,18.5141326,73.882011
248170640,18.5115451,73.8837932
248170701,18.5146427,73.8905165
248170939,18.5065575,73.8817031
248170958,18.5003985,73.8840086
248170961,18.4988828,73.8800812
248171030,18.5074674,73.8772111
248171831,18.5526184,73.8896546
248172294,18.5641174,73.8936721
248174401,18.5812907,73.9870896
248176346,18.5674977,73.9186264
248177816,18.5936679,73.9230455
248390933,18.5883564,73.8748999
248395504,18.48355,73.8816651
248395516,18.4813898,73.8754557
248395521,18.4806484,73.8682728
248395525,18.4809443,73.8621524
248395526,18.4808133,73.8611668
248396783,18.5557999,73.8630838
248397041,18.558847,73.8542229
248397343,18.5567395,73.8552554
248397344,18.5549618,73.8520659
248397577,18.5498095,73.8395488
248427603,18.5119109,73.9144561
248427604,18.5117346,73.9139945
248427605,18.5139484,73.9116831
248427855,18.5161128,73.9153154
248434670,18.5211969,73.8674661
248434979,18.517547,73.8683818
248435607,18.5160215,73.8599443
248435609,18.5161016,73.8618252
248436092,18.5131641,73.8614253
248436234,18.513044,73.8687635
248436236,18.5117288,73.8686865
248436313,18.5171226,73.8703694
248436597,18.520068,73.8699604
248436599,18.5200582,73.8711171
248436601,18.5204556,73.8725004
248436602,18.5205268,73.8725571
250114643,18.5725192,73.8339871
250121243,18.5348573,73.8746404
250125782,18.5394132,73.8972866
250126569,18.5323595,73.917356
250126571,18.5320065,73.9163701
250126812,18.5295349,73.9035512
250126817,18.5290384,73.9078373
250126824,18.5197758,73.9097088
250126931,18.5262035,73.8963527
250128353,18.5422609,73.9351663
250128358,18.5452274,73.9358733
250128367,18.5588886,73.9383227
250128371,18.5621172,73.9386815
250129246,18.5272549,73.9272546
250129251,18.5296556,73.9278201
250129252,18.5341145,73.9289112
250131558,18.5320379,73.9370968
250131561,18.5325229,73.9351279
250131571,18.5336319,73.9298557
250131574,18.5342956,73.9296623
250131830,18.5279684,73.9483568
250131839,18.530567,73.9422882
